C8-pos_Cluster_1502	C18:0 CE
C8-pos_Cluster_1504	C18:2 CE*
C8-pos_Cluster_1514	C18:1 CE  
C8-pos_Cluster_1521	C14:0 SM
C8-pos_Cluster_1525	C18:0 CE
C8-pos_Cluster_1597	C20:4 CE
C8-pos_Cluster_1610	C20:3 CE
C8-pos_Cluster_1614	C20:5 CE
C8-pos_Cluster_1623	C20:4 CE
C8-pos_Cluster_1635	C20:3 CE*
C8-pos_Cluster_1647	C16:1 SM
C8-pos_Cluster_1657	C16:0 SM
C8-pos_Cluster_1712	C22:5 CE
C8-pos_Cluster_1722	C22:4 CE
C8-pos_Cluster_1726	C22:6 CE
C8-pos_Cluster_1727	C34:0 PE
C8-pos_Cluster_1736	C22:5 CE*
C8-pos_Cluster_1742	C22:4 CE*
C8-pos_Cluster_1758	C18:0 SM
C8-pos_Cluster_1761	C32:1 PC
C8-pos_Cluster_1791	C42:0 TAG
C8-pos_Cluster_1799	C42:0 TAG
C8-pos_Cluster_1800	C34:1 PC plasmalogen-A
C8-pos_Cluster_1817	C34:2 PC
C8-pos_Cluster_1821	C34:1 PC
C8-pos_Cluster_1833	C36:5 PC plasmalogen-A
C8-pos_Cluster_1835	C36:5 PC plasmalogen-B
C8-pos_Cluster_1837	C44:1 TAG
C8-pos_Cluster_1848	C44:0 TAG*
C8-pos_Cluster_1849	cholestenone
C8-pos_Cluster_1854	C44:1 TAG
C8-pos_Cluster_1856	C36:2 PC plasmalogen
C8-pos_Cluster_1861	C44:0 TAG
C8-pos_Cluster_1873	C36:4 PC-A
C8-pos_Cluster_1874	C36:4 PC-B
C8-pos_Cluster_1879	C36:3 PC
C8-pos_Cluster_1884	C22:1 SM
C8-pos_Cluster_1886	C36:2 PC
C8-pos_Cluster_1888	C22:0 SM
C8-pos_Cluster_1889	C36:1 PC
C8-pos_Cluster_1900	cholestenone
C8-pos_Cluster_1902	C46:2 TAG*
C8-pos_Cluster_1907	C46:1 TAG*
